location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
San Marino,2021-01-31,1,monthly,,,,,,27.0,16.0,25.0,28.0,23.0,23.0,22.0,8.0,21.281096774193546,,70.6961290322581,,,33938.0,,,,16.0,28.0,23.8,14.0
San Marino,2021-02-28,2,monthly,,,,,,17.0,27.0,33.0,19.0,15.0,26.0,32.0,7.0,23.520321428571428,,60.84500000000002,35.0,,33938.0,,0.10312923566503625,,15.0,33.0,22.2,25.0
San Marino,2021-03-31,3,monthly,,,,,,19.0,19.0,27.0,23.0,18.0,50.0,36.0,10.0,31.95854838709678,,61.741612903225864,5599.870967741936,1129.357142857143,33938.0,,16.500297506458647,3.3277068267344654,18.0,27.0,21.2,26.0
San Marino,2021-04-30,4,monthly,,,,,,24.0,25.0,19.0,19.0,26.0,31.0,28.0,6.0,14.837999999999997,,57.59433333333336,12972.066666666668,7465.566666666667,33938.0,,38.22283772369223,21.99766240399159,19.0,26.0,22.6,22.0
San Marino,2021-05-31,5,monthly,,,,,,20.0,15.0,19.0,24.0,23.0,25.0,21.0,0.0,1.0691612903225816,,41.67000000000001,21343.774193548386,14456.354838709678,33938.0,,62.89048910822201,42.59636642910507,15.0,24.0,20.2,21.0
San Marino,2021-06-30,6,monthly,,,,,,24.0,21.0,27.0,11.0,24.0,29.0,20.0,0.0,0.0429,,39.44600000000001,21927.6,21875.7,33938.0,,64.61076079910426,64.45783487536096,11.0,27.0,21.4,20.0
San Marino,2021-07-31,7,monthly,,,,,,19.0,18.0,24.0,12.0,22.0,24.0,,0.0,1.1337741935483876,,38.89000000000001,22746.322580645163,22746.322580645163,33938.0,,67.02316748377972,67.02316748377972,12.0,24.0,19.0,
San Marino,2021-08-31,8,monthly,,,,,,16.0,20.0,22.0,22.0,22.0,21.0,,0.0,4.024,,38.89,23480.583333333332,23480.583333333332,33938.0,,69.18670320388158,69.18670320388158,16.0,22.0,20.4,
San Marino,2021-09-30,9,monthly,,,,,,21.0,14.0,27.0,19.0,18.0,18.0,,,,,,,,,,,,14.0,27.0,19.8,
San Marino,2021-10-31,10,monthly,,,,,,10.0,23.0,22.0,24.0,17.0,25.0,,,,,,,,,,,,10.0,24.0,19.2,
San Marino,2021-11-30,11,monthly,,,,,,20.0,23.0,10.0,25.0,27.0,26.0,,,,,,,,,,,,10.0,27.0,21.0,
San Marino,2021-12-31,12,monthly,,,,,,18.0,32.0,23.0,18.0,16.0,45.0,,,,,,,,,,,,16.0,32.0,21.4,
