location,date,time,time_unit,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
Singapore,2020-01-31,1,monthly,,,,,,1701.0,1635.0,1768.0,1931.0,1847.0,2091.0,1868.0,0.0,1.17875,,25.0,,,5453600.0,,,,1635.0,1931.0,1776.4,2091.0
Singapore,2020-02-29,2,monthly,,,,,,1481.0,1592.0,1577.0,1662.0,1631.0,1762.0,1763.0,0.0,2.9606206896551726,,29.409655172413792,,,5453600.0,,,,1481.0,1662.0,1588.6,1762.0
Singapore,2020-03-31,3,monthly,,,,,,1680.0,1780.0,1779.0,1778.0,1837.0,1891.0,1921.0,3.0,22.336419354838707,,33.961612903225806,,,5453600.0,,,,1680.0,1837.0,1770.8,1888.0
Singapore,2020-04-30,4,monthly,,,,,,1589.0,1684.0,1661.0,1668.0,1765.0,1913.0,1933.0,12.0,447.9952333333333,3701.5882352941176,69.81366666666666,,,5453600.0,12.102784125521106,,,1589.0,1765.0,1673.4,1901.0
Singapore,2020-05-31,5,monthly,,,,,,1725.0,1728.0,1902.0,1829.0,1767.0,1874.0,1972.0,8.0,617.3363548387097,7136.548387096775,74.64225806451613,,,5453600.0,8.650349179371974,,,1725.0,1902.0,1790.2,1866.0
Singapore,2020-06-30,6,monthly,,,,,,1827.0,1585.0,1925.0,1748.0,1735.0,1761.0,1934.0,3.0,328.80469999999997,12372.566666666668,60.43333333333333,,,5453600.0,2.6575302349014076,,,1585.0,1925.0,1764.0,1758.0
Singapore,2020-07-31,7,monthly,,,,,,1781.0,1859.0,1842.0,1791.0,1804.0,1759.0,1996.0,1.0,254.6082258064516,19536.41935483871,51.10903225806451,,,5453600.0,1.303249183906319,,,1781.0,1859.0,1815.4,1758.0
Singapore,2020-08-31,8,monthly,,,,,,1689.0,1747.0,1751.0,1806.0,1824.0,1860.0,1960.0,0.0,178.023,20136.870967741936,51.46709677419355,,,5453600.0,0.884064859357654,,,1689.0,1824.0,1763.4,1860.0
Singapore,2020-09-30,9,monthly,,,,,,1554.0,1583.0,1590.0,1655.0,1703.0,1751.0,1947.0,0.0,35.51423333333333,29670.866666666665,51.3,,,5453600.0,0.11969395344029947,,,1554.0,1703.0,1617.0,1751.0
Singapore,2020-10-31,10,monthly,,,,,,1625.0,1716.0,1759.0,1773.0,1833.0,1770.0,,1.0,9.198225806451612,28370.612903225807,45.72870967741935,,,5453600.0,0.03242166758197089,,,1625.0,1833.0,1741.2,1769.0
Singapore,2020-11-30,11,monthly,,,,,,1589.0,1510.0,1666.0,1703.0,1767.0,1771.0,,1.0,7.052333333333333,27718.566666666666,45.55533333333333,,,5453600.0,0.02544263351760613,,,1510.0,1767.0,1647.0,1770.0
Singapore,2020-12-31,12,monthly,,,,,,1621.0,1598.0,1685.0,1938.0,1933.0,1851.0,,0.0,11.00458064516129,27677.967741935485,48.23967741935484,,,5453600.0,0.039759352087429506,,,1598.0,1938.0,1755.0,1851.0
