date,location,time_unit,time,deaths_2010_all_ages,deaths_2011_all_ages,deaths_2012_all_ages,deaths_2013_all_ages,deaths_2014_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2020_all_ages,deaths_2021_all_ages,new_deaths,new_cases_smoothed,new_tests_smoothed,stringency_index,people_vaccinated,people_fully_vaccinated,population,positive_test_percent,people_vaccinated_percent,people_fully_vaccinated_percent,deaths_min,deaths_max,deaths_mean,deaths_noncovid
2020-01-05,United Kingdom,weekly,1,,,,,,13430.0,14860.0,13608.0,14699.0,12421.0,13767.0,20039.0,,,,,,,,,,,12421.0,14860.0,13803.6,
2020-01-12,United Kingdom,weekly,2,,,,,,18317.0,13149.0,15526.0,17429.0,14484.0,16018.0,20035.0,,,,,,,,,,,13149.0,18317.0,15781.0,
2020-01-19,United Kingdom,weekly,3,,,,,,16735.0,13056.0,15230.0,16351.0,13543.0,14723.0,20709.0,,,,,,,,,,,13056.0,16735.0,14983.0,
2020-01-26,United Kingdom,weekly,4,,,,,,15710.0,12853.0,14461.0,15970.0,13282.0,13426.0,20489.0,,,,,,,,,,,12853.0,15970.0,14455.2,
2020-02-02,United Kingdom,weekly,5,,,,,,14559.0,12556.0,14184.0,15084.0,12798.0,13123.0,19160.0,0.0,,,9.256666666666666,,,68207114.0,,,,12556.0,15084.0,13836.2,13123.0
2020-02-09,United Kingdom,weekly,6,,,,,,13728.0,12680.0,13794.0,14104.0,13220.0,12532.0,17148.0,0.0,1.3714,,11.11,,,68207114.0,,,,12680.0,14104.0,13505.2,12532.0
2020-02-16,United Kingdom,weekly,7,,,,,,13510.0,12015.0,13209.0,13924.0,13346.0,12416.0,15583.0,0.0,0.9387142857142857,,11.11,,,68207114.0,,,,12015.0,13924.0,13200.8,12416.0
2020-02-23,United Kingdom,weekly,8,,,,,,13069.0,12716.0,13328.0,13752.0,12876.0,12299.0,14290.0,0.0,0.7752857142857142,,11.11,,,68207114.0,,,,12716.0,13752.0,13148.2,12299.0
2020-03-01,United Kingdom,weekly,9,,,,,,13179.0,12730.0,12815.0,12188.0,12476.0,12333.0,13115.0,0.0,4.122571428571429,,11.11,,,68207114.0,,,,12188.0,13179.0,12677.6,12333.0
2020-03-08,United Kingdom,weekly,10,,,,,,13003.0,12487.0,12577.0,14857.0,12394.0,12412.0,12471.0,2.0,36.510285714285715,,11.11,,,68207114.0,,,,12394.0,14857.0,13063.6,12410.0
2020-03-15,United Kingdom,weekly,11,,,,,,12472.0,12480.0,12088.0,14366.0,12017.0,12539.0,11678.0,41.0,212.97942857142857,,11.902857142857142,,,68207114.0,,,,12017.0,14366.0,12684.6,12498.0
2020-03-22,United Kingdom,weekly,12,,,,,,12026.0,10970.0,11832.0,13397.0,11794.0,12113.0,11449.0,245.0,707.5307142857143,,35.45,,,68207114.0,,,,10970.0,13397.0,12003.8,11868.0
2020-03-29,United Kingdom,weekly,13,,,,,,11985.0,11733.0,11453.0,11308.0,11259.0,12508.0,9461.0,1390.0,2041.510142857143,,79.43142857142857,,,68207114.0,,,,11259.0,11985.0,11547.6,11118.0
2020-04-05,United Kingdom,weekly,14,,,,,,10321.0,13059.0,11304.0,12269.0,11442.0,18565.0,10401.0,4201.0,3866.285714285714,,79.63,,,68207114.0,,,,10321.0,13059.0,11679.0,14364.0
2020-04-12,United Kingdom,weekly,15,,,,,,11572.0,12753.0,9756.0,13841.0,11661.0,20929.0,10474.0,6443.0,4687.551,17217.0,79.63,,,68207114.0,27.22629377940408,,,9756.0,13841.0,11916.6,14486.0
2020-04-19,United Kingdom,weekly,16,,,,,,13058.0,12310.0,10993.0,12639.0,10240.0,24691.0,11358.0,6178.0,4426.979571428571,17350.0,79.63,,,68207114.0,25.515732400164676,,,10240.0,13058.0,11848.0,18513.0
